text,positive,negative,assigned,Jakob,Jamie,Darren,Final Decision,Agree w/ Vader,Heather
The vaccine shouldnt matter at this point in college athletics they shouldnt even be testing in the damn final 4,0.00,1.00,Negative,a,,a,a,y,
I would like to thank my sponsors Saint John Fisher College and King Cuomo for this opportunity. Beyond blessed to be forced into taking the vaccine.,0.80,0.20,Positive,a,,a,a,n,
"One shot can make you $100,000 richer! Dont leave free money on the table, read below to learn how to be entered into a drawing for a scholarship. The first drawing is Friday, July 2nd! Dont wait...Enter now!",0.67,0.33,Positive,p,,p,p,y,
"im sorry u have to go through this! Senior hs &amp; freshman college are such memorable important years, I cant imagine having mine during the pandemic. Do u think vaccine delivery will improve soon enough for u to leave for school???",0.69,0.31,Positive,p,,p,p,y,
Research Combating Vaccine Hesitancy with Vaccine-Preventable Disease Familiarization: An Interview and Curriculum Intervention for College Students by Prof. Dr. Brian D. Poole et al. #vaccines,0.00,1.00,Negative,p,,u,u,n/a,
"Those who are most hesitant to get the coronavirus vaccine include white evangelicals, Republicans, rural Americans, young adults and those without college degrees.MAGA MAGA BING BONG",0.00,1.00,Negative,p,,p,p,n,
"sir to vaccinate the young 1 plz provide vaccine and doctor to colleges so that youngsters will get it ASAP, as data is all along with college of der students. Just keep n eye on dem nd no outsiders will be allowed except it will be a fst.",0.37,0.63,Negative,u,,p,p,n,
"Europe chooses 1 dose for prior infected, while US and UK continue to demand 2, even for youth already at low risk from Covid that just want to go to college or work w/o being coerced into unnecessary vaccine risk. If 1 dose necessary to appease beast, at least reduces harm.",0.17,0.83,Negative,a,,u,a,y,
"Shit , do you recommend some drug over vaccine which college did you graduate from you are antivaaaaaaaax as simple as that",0.41,0.59,Negative,p,,p,p,n,
Its beyond ridiculous. College age athletes have zero satirical risk from COVID. The fact so many had the vaccine and still tested positive proves again the tests are not diagnostic. There are way too many false positives. Its a joke. Meant to scare the ignorant,0.48,0.52,Negative,a,,a,a,y,
NCAA Kicks NC State Out of College World Series After 4 Vaccinated Players Test Positive For Covid-19,1.00,0.00,Positive,u,,u,u,n/a,
This guy is such a useless douche. You can tell hes been bought and paid for more times than a bar of soap in prison. Nice political legacy. #ArizonaGetsScrewed,0.25,0.75,Negative,p,,u,p,n,
"Nevada launches vaccine incentive lottery with cash prizes, college scholarships",1.00,0.00,Positive,p,,u,p,y,
"You know whats wild? When you enter college, you already have to have a damn shot record and proof you have had the requires shots like meningitis. A vaccine passport is literally just a shot record. The same shot record we have been carrying since we were little.",0.48,0.52,Negative,p,,p,p,n,
"Want to win $1 million or a college scholarship in the #MassVaxMillions Giveaway? You must be fully vaccinated to be eligible. Registration begins July 1 and if you arent vaccinated, you cant win! Make a #COVID19MA vaccine appointment today:",0.64,0.36,Positive,p,,p,p,y,
got my meningitis b vaccine today bc my college requires it and its hitting me like the covid vaccine pls i cant go through this again,1.00,0.00,Positive,p,,p,p,y,
"Union County College is hosting a free vaccine clinic on Wednesday, June 30th at their Cranford campus. The event will also feature giveaways and raffles for prizes such as gift cards, laptops, and free tuition for students.",1.00,0.00,Positive,p,,p,p,y,
"You just wait for the vaccineAnd anyway there is no compulsion for offline class, so do not oppose the opening of the college.",0.00,1.00,Negative,p,,p,p,n,
My sons college is requiring vaccine to attend in person classes and live on campus. Unbelievable the number of parents freaking out. Id vaccinate my 19yo son against anything I could. Boys are dumb.,0.34,0.66,Negative,p,,p,p,n,
"University of California campuses are requiring a COVID-19 vaccine for Fall 2021no waiting until full FDA approval, as was originally planned! #bbn #COVID19 #CovidVaccine #college #studentscovid",1.00,0.00,Positive,,,a,a,n,
"College vaccine mandates can play a role here, but Im worried that mandates without major investments in edu and outreach to students (not always colleges strength IMO) will keep pushing students out of higher ed. If youre gonna mandate, you gotta address the barriers",0.41,0.59,Negative,,p,,,n,
"Across eastern Oregon, our vaccine rates arent nearly as high as we would like to see. Theres more vaccine hesitancy and frankly, its more wide open spaces. These are smaller communities.Always read !",0.56,0.44,Positive,,p,,,y,
"If athletes wont get vaccine, this College World Series disaster is going to keep happeningit sure didnt seem like vaccination was a big priorityfor coach Elliott Avent,who saidencouraging players to get the vaccine wasnt in his job description",0.27,0.73,Negative,,p,,,n,
My college is now giving people $150 of bookstore credit to get the vaccine.No one gave me cool deals when I got vaccinated in February! Especially not for my textbooks.,1.00,0.00,Positive,,p,,,y,
"- Free vaccination drive for our college students was arranged on 29.6.2021 at Basaveshwar Engineering College, Bagalkot under VACCINE FOR ALL - FREE FOR ALL campaign of GoI to fight against COVID.",0.74,0.26,Positive,,p,,,y,
Alice! is taking the pledge to help Columbia become a Vaccine Champion College. Together we can make a difference. Together we can protect the community. Together #WeCanDoThis. #COVIDCollegeChallenge Learn more:,1.00,0.00,Positive,,p,,,y,
College baseball just showed you that the vaccine isnt worth it. Every player that wasnt vaccinated tested negative. Every player that was vaccinated tested positive. Makes no sense. I know. Ive been known this mannnnnnn.,0.63,0.37,Positive,,a,,,n,
Sign up for the COVID-19 College Vaccine Challenge! The White House &amp; are inviting colleges and universities across the country to join efforts to end the pandemic by signing up for the COVID-19 College Vaccine Challenge.,1.00,0.00,Positive,,p,,,y,
Chai ki dukan fakeCollege certificate fakeMarital status fakeGujrat model fakeReforms fakeBlack money promise fakeAcche din fakeFree vaccine promise fakeVaccination on time fakeOxygen audit fake,0.60,0.40,Positive,,u,,,n/a,
"I got my first dose of vaccine on 12th May 2021. The second dose is already due and the deadline for it will end on 23rd June. When will I be able to get the second dose?Vaccination center: Jorhat College, Jorhat. Age 25. Kindly let me know",1.00,0.00,Positive,,p,,,y,
#CDC is lying? What is Qanon? My college daughter has 2 friends at her university who got the #Pfizer and have been in and out of the hospital with heart inflammation,0.45,0.55,Negative,,a,,,y,
Smallpox vaccine. Google it. This is why Bernie Sanders wants to send college for free. Too many people running around so over confident in their ignorance.,0.73,0.27,Positive,,u,,,n/a,
nothing better than owning the repugs with some rules . . .,0.00,1.00,Negative,,p,,,n,
If youre in the LaPorte or surrounding area ....J&amp;J VaccineNo appointment necessary San Jancinto College Maritime Center3700 Old Highway 146La Porte 77571- Operational time: 8AM - 2PM SHARE! SHARE! SHARE!,1.00,0.00,Positive,,p,,,y,
Republican leaders arent afraid that vaccine hesitancy might thin the population of Republican districts because of the Electoral College.,0.00,1.00,Negative,,p,,,n,
could you please advise which vaccine will be at Seneca College Newnham Campus appointments tomorrow (june 25). thank you!,1.00,0.00,Positive,,p,,,y,
"My family has no idea, zero, what vaccinations I get...unless I tell them. These people can get the vaccine and keep quiet about it. Even kids who have anti vaccine parents are going out and getting all their vaccines without the parents knowing. They need them for college.",0.00,1.00,Negative,,p,,,n,
Lol seeing the pictures got me so happy to have that phase over with cause wearing a mask and this vaccine for college is to much,1.00,0.00,Positive,,a,,,n,
"Then dont go to college elementary, middle and high schools should be doing the same just like any other vaccine. Gimme a break",1.00,0.00,Positive,,p,,,y,
Petition No Mandatory Covid-19 Vaccination at BYU-Hawaii,0.00,1.00,Negative,,a,,,y,
"And yet even with all of this coming out universities are MANDATING the vaccine putting kids at risk for myocarditis and other things. How do we stop them? Any doctors willing to write exemptions for kids that dont want the jab, but would like to go to college?",0.41,0.59,Negative,,a,,,y,
"You had to get vaccinated to go to school. You had to get vaccinated to go to college. In all sincerity, Im struggling to understand how a vaccine infringes on your freedom. Wouldnt a vaccine aid in your ability to live a longer, worry free life of freedom?",0.71,0.29,Positive,,p,,,y,
"Congratulations to the first COVID-19 vaccine lottery winners, Shelly Wyramon &amp; Vanya Martinez! Shelly, a mother of 3 &amp; teacher, won $1 million! 14-year-old Vanya won the first $125K college scholarship!",1.00,0.00,Positive,,p,,,y,
Anti-vaxx parents are killing their kids. The should allow all teenagers aged 16+ to get the covid vaccine without parental consent. Many of those entering college are not yet 18. We need to make sure they can be vaccinated. #VaccinesSaveLives #DeltaVariant,0.41,0.59,Negative,,p,,,n,
"Sir,all the covid vaccines are supplied from SILCHAR MEDICAL COLLEGE to other centres at Cachar..then how they ran out of vaccine , I reside near SMCH only bt I have to travel to Bagha which is aprxmtly 40kms frm my place. Is it my fault to not have any channels?",0.00,1.00,Negative,,p,,,n,
"The vaccine very specifically was not required. The negative COVID tests were. What are you talking about? Besides, these are college kids in athletics. I had to show proof of vaccination in public high school and college in this country. Was that NAZI-ish then too?",1.00,0.00,Positive,,p,,,y,
Thats why illiterate like you shouldnt enter Your in biology.1st : to test every Vaccine BSA ( bovine serum albumin ) needed. Its a made from cow but synthetic now . It doesnt need to killed cow /calf ok. They just push injection &amp; take 2-5 ml of bloodGo &amp; join college,1.00,0.00,Positive,,u,,,n/a,
"The #IndianaUniversity students have every right to refuse the COVID vaccine, and they equally have the right to shlep burgers as college dropouts#FuckEm",0.00,1.00,Negative,,p,,,n,
"Carry original and photocopy of following docs1. Offer letter from college.2. Passport3. Visa (If you have)4. Aadhaar Card5. 1st Vaccine certificateI would suggest you to reach at the centre at 9am, you will get the token from security guard and the drive will start at 11am",1.00,0.00,Positive,,p,,,y,
"Hundreds of members of the College community are making the informed decision to get the COVID-19 vaccine. Follow along this month as we share stories from RRC employees, students, and alumni about why getting vaccinated is important to them.",1.00,0.00,Positive,,p,,,y,
"While many colleges across the country are providing incentives to encourage students to get a Covid-19 vaccine, Rhodes College is charging a fee to students who are not vaccinated.",1.00,0.00,Positive,,u,,,n/a,
It is fucked up they making college students get that vaccine. I aint have to get no vaccine to attend NSU,0.00,1.00,Negative,,a,,,y,
You can attend college w/o the covid vaccine. Its not FDA approved.,0.00,1.00,Negative,,a,,,y,
LSU Board of supervisors asks State of Louisiana to include a Covid-19 vaccine to list of required shots for students to attend college! Will the state agree? #bbn #COVID19 #CovidVaccine #LSU #Louisianacovid,1.00,0.00,Positive,,u,,,n/a,
"The political/culture wars over vaccination mandates at colleges and univs in 16 GOP states = a disaster this fall as students return, low vax rates, the Delta variant dominant, winter drives people indoors.",0.00,1.00,Negative,,p,,,n,
VACCINATION LOTTO WINNER: Recent Myrtle Grove Middle School grad Vania Martinez said winning the money towards college tuition was both shocking and life-changing for her family.,0.75,0.25,Positive,,p,,,y,
Heartbreaking. A beautiful young soul just beginning life. Vaccines for children should B halted immediately! Isnt survival rate for all people about 99.8? My grandkids must get vaccine to return to school/college/job. Stop this!,0.40,0.60,Negative,,a,,,y,
"How to get the COVID vaccine and win $20,000 in scholarships at this Bristol CC clinic",1.00,0.00,Positive,,p,,,y,
"I went there for fun. I dont think they understand how follow the money works. I could make mint - like pay off the house, cars, kids college mint, compounding ivermectin. Instead Im losing money on every single vaccine given. I am doing this wrong.",0.45,0.55,Negative,,u,,,n/a,
Last year leagues forced college players to stay in and shut down seasons due to what turned out to be false cases of covid - myocarditis only now to have actual such cases due to the vaccine.,0.00,1.00,Negative,,a,,,y,
"Truly asking for a friend, what recourse does one have if employer is mandating employees get vaccinated? Friend is early 20s healthy, recent college grad starting in field of study. Only opts are quit or get vaccine!?! Is this really where we are?",1.00,0.00,Positive,,a,,,n,
Im ok with it. I only have one kid left and hes going to college. The other one never got a special vaccine for the correct strain in 2001. You know the flu that a- people still say more people die from to justify whatever. Ill show a card at my business too.,0.16,0.84,Negative,,p,,,n,
"All these people mad about a vaccine being required are forgetting that they are required for school, college, traveling to other countries. Dont be fucking dumb.",0.48,0.52,Negative,,p,,,n,
"Last summer, wanted college football canceled for myocarditis and Covid, which was soundly disproven.Notice his silence on the vaccine and myocarditis as his alma mater forces vaccinations.Biggest coward in sports.",0.00,1.00,Negative,,a,,,y,
Like this incentive: Cash for College. Hope more young people in NC go for the vaccinenot only to get a chance for a scholarship but also to help protect others of us in NC. And I really wish NC expected it as a part of entering college this fall.,1.00,0.00,Positive,,p,,,y,
Great job,1.00,0.00,Positive,,u,,,n/a,
"We are happy to join the White House COVID-19 College Vaccination Challenge because we know our community will be safer and healthier if we all get fully vaccinated, stated SLCC President Deneece Huftalin.",1.00,0.00,Positive,,p,,,y,
"Frankly Karma can be a real Bitch! Am I right Elliott?Opinion: If athletes wont get vaccine, this College World Series disaster is going to keep happening",0.00,1.00,Negative,,p,,,n,
ZERO college baseball players with or without the vaccine have been seriously affected by COVID this year. The protocol is a joke and completely inconsistent with actual logic.,0.40,0.60,Negative,,a,,,y,
"Its like everything with these people, their badge of honor is a college diploma ( the less useful the better ), a vaccine, a black square on their FB page, etc....all meaningless because these MFers never lift a finger to help anyone.",0.83,0.17,Positive,,a,,,n,
You do know that spike proteins are common once you get vaccinated or even get infected by a disease right? Whats more laughable is that you cited an article from a site which is clearly a source of anti-vaccine misinformation. You clearly did not ace your basic college biology.,0.56,0.44,Positive,,p,,,y,
When will Excelsior Pass be available for residents of NY that received their vaccine in a different state (college students)? Thank you!,1.00,0.00,Positive,,p,,,y,
"So for organized sports: club, high school, and college you have to have up to date shots, physical, vaccinations, medical records, right? This has always been a thing, i dont remember anyone really complaining about this before. Why is it that people care about THIS vaccine?",0.63,0.37,Positive,,p,,,y,
"Because the whole vaccine has become a fad. not discrediting any scientific valor here,with all major things, there is always a population of followers, or ppl who care bcuz of the fad of it.If college players being compensated was more popular they would care more about it.",1.00,0.00,Positive,,a,,,n,
Discrimination of any type is just wrong. Okay say they have a concert for people with a college degree. People will be outraged bc not everyone makes that choice or has the opportunity to do so. Same thing with the vaccine. Not everyone makes that choice. So u are being punished,0.33,0.67,Negative,,a,,,y,
"Meaningless waffle, nothing more. You are ordering staff to expose themselves to the most Covid-19 infected and vaccine-hesitant cohort in the country - a situation that will only get worse once they are back in college. And all to facilitate the holistic college experience?",0.00,1.00,Negative,,p,,,n,
"Sure, but we will keep forcing these vaccines on our college students. These vax mandates need to stop.",0.37,0.63,Negative,,a,,,y,
"YOU DUMB AND IGNORANT. A New Jersey student whose college, the New Jersey Institute of Technology, requires all students to be fully vaccinated in order to attend classes in the fall became ill within hours of receiving the second dose of Modernas COVID vaccine.",0.00,1.00,Negative,,a,,,y,
"Wrong!! Its headed towards: you cant enter a concert, or cant work, or cant travel on a plane, or go to college without a vaccine!!! That is NOT choice! Pretty soon, one wont be able to enter a grocery store or buy food without a Covid jab! This is tyranny. Nazi tyranny!!!",0.00,1.00,Negative,,a,,,y,
. Sow this to the colleges &amp; universities in AZ that think mandates for the vaccine on students are a good thing.,1.00,0.00,Positive,,a,,,n,
It is a grt decision by telangana govt thank you ..corona will not just vanish and for how long college should remain closed.. already we r suffering from 15 mnths.. well take vaccine and attend college,0.60,0.40,Positive,,p,,,y,
"I cannot wait to go back to performing live in front of an audience!Help ensure the health &amp; safety of our Columbia College community. We encourage students, faculty &amp; staff to get the COVID-19 vaccine heading into the Fall 21 semester.#WeAreCC",1.00,0.00,Positive,,p,,,y,
"im surprsied my college provide free vaccine, bcus i expect the worst lol.and its sinovac on top of that.but for now its only for the local student? still waiting they allow nonn-local student to be able to get it.",0.63,0.37,Positive,,p,,,y,
I remember when the panic press said that there would be numerous college and pro athletes that would die from Covid. He may put his team in difficulty if he gets Covid but it his choice not to get an emergency vaccine against a disease that poses no statistical threat to him,0.28,0.72,Negative,,a,,,y,
I feel awful for the college students who have been blackmailed into taking the vaccine,0.00,1.00,Negative,,a,,,y,
More re: college vaccine mandates liability?,0.00,1.00,Negative,,u,,,n/a,
are you still going to push the vaccine on college kids? How many you g people have to be injured or killed to get your attention?,0.00,1.00,Negative,,a,,,y,
"Want to get your FREE COVID-19 vaccine today? Heres where we are!Legacy Events Center site is CLOSED until THURSDAY! Davis Technical College in Kaysville (550 E. 300 S.), South end of the campus, 10 AM to 6 PM. On the Spot appointments available!",1.00,0.00,Positive,,p,,,y,
They are hypocrites. The bishop here in central Massachusetts is an anti-vaxxer who is telling college students how to avoid vaccine mandates when they return in the fall.,0.00,1.00,Negative,,p,,,n,
Dont take the vaccine and go to some other school then. Freedom of choice. Im sure some right wing Christian college wont require vax,1.00,0.00,Positive,,p,,,y,
"Again, youre pushing misinformation. Ive walked you through this elsewhere, but heres the University of Maryland College of Medicine breaking it down.TLDR; the COVID vaccine went through the same time and rigor of testing as any other vaccine.",0.00,1.00,Negative,,p,,,n,
"lmao not a COLLEGE ATHLETE mad on facebook that her college is requiring the vaccine,,,, bet my bottom dollar u had to send yr vac records 4 years ago to even be on that team????? this isnt fuckin new oh my god",0.67,0.33,Positive,,p,,,y,
Need help with civil rights issue. Mandating vaccine against will of college students,1.00,0.00,Positive,,a,,,n,
"Not exactly the same thing as reproductive health. One is a public safety issue, the other is a personal decision. But he has the right to refuse and deal with the ramifications just like any college student has the right to refuse the meningitis vaccine and not go to college.",0.48,0.52,Negative,,p,,,n,
Doug Douchey strikes again!!CC: executive order bans universities from requiring students to receive COVID-19 vaccine,0.00,1.00,Negative,,p,,,n,
Coercion is not a proper choice. My daughter is being told she can not attend a college this fall she was accepted to unless she has the vaccine. Coercion - the practice of persuading someone to do something by using force or threat.,0.38,0.62,Negative,,a,,,y,
SCIENCE literally has proven that college aged players are nearly immune to any effects of the virus. Yet the Covid vaccine has caused heart issues and clotting in many kids across the country.,1.00,0.00,Positive,,a,,,n,
"Montgomery County will suspend COVID-19 vaccinations at the Montgomery County College site in Germantown, Maryland, on July 2.",0.00,1.00,Negative,,u,,,n/a,
Final update for the moment! As we head into August I will probably change this back to every other day or daily since its a high chance there will be new groups eligible and college students may need the vaccine to go to campus this Fall. Have a wonderful weekend!,1.00,0.00,Positive,,p,,,y,
"What is their education regarding the vaccine? They reside in close quarters; plenty of examples of sports figures getting COVID. Yes, it is a personal choice, but youre affecting the lives of others. This was a special opportunity to be in the College World Series.",1.00,0.00,Positive,,p,,,y,
"11 million people are facing eviction, there has been no increase to the minimum wage, college debt is still overwhelming an entire generation and there is quite literally a new strain that is possibly uncontrolled by the vaccine",0.00,1.00,Negative,,u,,,n/a,
"Maybe Ill have my first dose of the vaccine by my birthday!! People 20+ can start applying after July 3rd, but since Im away at college and need to get it at my place of residence, I can only do it after I leave, but this is really cool, cant wait",0.55,0.45,Positive,,p,,,y,
"Companies arent the only ones facing a vaccine requirement conundrum. Colleges are facing a similar situation with students, and campuses are riskier due to the diversity of the population and living arrangements",0.00,1.00,Negative,,u,,,n/a,
Really? Can you please explain why you think mandating an EUA vaccine for college students will help things? Have you even researched the side effects young adults are facing with heart inflammation?,1.00,0.00,Positive,,a,,,n,
You know whats worse than the temporary heart side effects from the vaccine? Potentially life-long heart problems from COVID,0.00,1.00,Negative,,p,,,n,
"We feel like we have a couple guys that can go at quarterback, a notable step forward for Alex Padilla, Ferentz says while offering encouraging remarks on Deuce Hogan, too. 6 thoughts/observations out of Hawkeye football interviews last night. ()",1.00,0.00,Positive,,u,,,n/a,
.0066% of 12-17 year olds experienced myocarditis after getting the vaccine. 66 out of 1 mil. Cut that number in half for college aged kids. Compared to 0.31% of college athletes who experienced it after having COVID. 46x more likely to have myocarditis from covid than the vax.,0.38,0.62,Negative,,p,,,n,
"I just dont get it 18 year olds, quick get your grab and go vaccine NOW. 17 year olds - continue attending college, work, public transport and just hope for the best",1.00,0.00,Positive,,p,,,y,
Just recovered from serious covid complications... cant even take vaccine according to government I should take it after atleast 3 months.... what should I do... give the exam in fear of dying??or I should not give the exam and die with fear of not getting any good college...??,0.00,1.00,Negative,,u,,,n/a,
KTR anna to write PG exams vaccination is mandatory itseems so please provide vaccine in every college my request please KTR anna,1.00,0.00,Positive,,p,,,y,
Dude I dont need to waste time looking up some wacko article you saw on Facebook. The fact is the vaccine is incredibly safe. I also agree that college age kids or younger probably dont need it. I can believe both facts.,1.00,0.00,Positive,,a,,,n,
"I have no idea, college athletes when infected can give it to non college athletes thou. My point was and still is, if those 2 unvaxed players that got it had gotten the vaccine the NCAA wouldnt have tested anyone on the team so competitively they screwed their teammates",0.00,1.00,Negative,,p,,,n,
19-Year-Old College Freshman Dies From Heart Problem One Month After Second Dose of Moderna Vaccine Childrens Health Defense DONT TAKE IT They just want the money to start flowing again. They dont care what it does to people or if it really works.,0.34,0.66,Negative,,a,,,y,
"Im a liberal Independent, majored in biology, and took a mandatory flu vaccine before starting college in 1976, shortly after I turned 17, which damned near killed me.Even the CDC recommends that I NOT get the Covid vaccine, because of my life-threatening response to that one.",0.25,0.75,Negative,,a,,,y,
NEW: Eight college students are suing Indiana University in federal court over its COVID-19 vaccine mandate.,0.00,1.00,Negative,,u,,,n/a,
We are in control of our own bodies. If youre at risk take the vaccine. Did your at risk friends take the vaccine? If not why not? We should take responsibility for our own body. Not be forced to take a drug. My nephew is young and cant graduate college without vaccine.,0.58,0.42,Positive,,a,,,n,
Mandatory vaccination for college students is a travesty - Four times the rate of hospitalization for vaccine side effects than for the virus itself,0.26,0.74,Negative,,a,,,y,
"i have yet to get my vaccine and the deadline for my college is the 9th of august, i need to be fully vaccinated by then and yet my parents are fucking pussies bc they think the vaccine will kill me or something",0.00,1.00,Negative,,p,,,n,
Of course you didnt waste s second. Democrats and China were responsible. It was created in NC not to mention the college got the vaccine from Moderna two weeks before the virus was released. NOT FAKE NEWS!!!!!!!,1.00,0.00,Positive,,a,,,n,
"Congratulations to Danielle Hannon of Davis College, Summerhill, Mallow, Co. Cork on receiving a medal in the YEOTY 2020 National Awards for her project Social Science: The HPV Vaccine, Life or Death? 1",0.72,0.28,Positive,,u,,,n/a,
A person is immune to the new strain only after 3 months of the first vaccine.Do you not know anything about what\s happening in the world?That means people who get vaccinated in July are vulnerable until October.Will open college in August NICE!,0.66,0.34,Positive,,p,,,y,
"I feel for the boys of NC State baseball. I cant imagine. Situations like this are exactly why I share the importance of COVID-19 vaccine with any student athlete I knowhigh school, travel, and college. Dont let quarantine keep you from your season.",0.69,0.31,Positive,,p,,,y,
Back in coffee shops in writing post-vaccine (its where Ive always been most productive for this kind of work) and the thing Im noticing is how they are playing all the same music I listened to at cafes in college. Theyre playing oldies! #ElderMillennial,1.00,0.00,Positive,,p,,,y,
"Are they suing for all the vaccine mandates including flu shots, booster shots, all that too? And last I checked, it was no ones constitutional right to go to college.... If it is then maybe I need to sue them for being too broke to afford it",0.00,1.00,Negative,,p,,,n,
Wonder where NC State will hang their Forfeited the College World Series Because We Couldnt Get Our Players to Take the Vaccine banner?Truly a new rock bottom in 40 years of lows,0.00,1.00,Negative,,p,,,n,
"SB618 is heading to the Governors desk. bill would forbid the state and any county, municipality, school district and college from requiring proof of a #COVID19 vaccine. It would also curtail the Secretary of Health powers.",0.00,1.00,Negative,,u,,,n/a,
Is your kid planning to go to college? If so she is going to need to get that experimental vaccine lol,1.00,0.00,Positive,,a,,,n,
"But upgrading family is impossible, dammit. A family member is refusing the vaccine for herself AND her two teenage children--one works in a restaurant and the other is going to college...in FLORIDA.",0.00,1.00,Negative,,p,,,n,
Or are you just too stupid and naive that you believe a college campus that is mandating vaccines would actually release a statement saying one of their students died from the very same vaccine they are mandating,0.00,1.00,Negative,,a,,,y,
"Not true, go back through tweets over the past several weeks and all he keeps spouting is that college athletes shouldnt get the vaccine because the data that shows they may get myocarditis. Ignoring the actual stats that show a .00004% of this happening.",0.00,1.00,Negative,,p,,,n,
"President/CEO Msg - 6/21: Safe Return to Campus Decisions; FREE resources for summer 2021 students (laptops, wi-fi, food, housing grants); 2021-2022 Budget Augmentations and Enhancements; vaccine incentive available to summer 2021 students.Full msg:",1.00,0.00,Positive,,u,,,n/a,
Just talked with an old friend whos in school studying viruses and all they had was authoritative arguments for why I should trust the vaccine. Is this the type of loser were turning everyone into at college? Sheesh.,0.51,0.49,Positive,,a,,,n,
"With #coronavirus vaccination rates slowing, Bristol Community College is aiming to lure more to get their shots by offering free food, ice cream, music and a chance to win an array of prizes.",1.00,0.00,Positive,,u,,,n/a,
"Well if theyre brainwashed liberals then they wouldve gotten the vaccine and they wouldve been playing Vanderbilt today in the college World Series, seems pretty simple to me.",1.00,0.00,Positive,,p,,,y,
"Only if they take on the liability the drug companies were given immunity from. Forcing teenagers to get a vaccine proven to create heart problems seems like the college is assuming all liability, doesnt it?",0.42,0.58,Negative,,a,,,y,
"I feel like another big reason college educated voters shifted Democrat is, frankly, the Republicans are the party of anti-science. Certain kinds, like vaccine denialism, have play in the liberal side of things but not to the scale on the Republican side.",1.00,0.00,Positive,,p,,,y,
After a long interval of 31 years i got an opportunity to sit in Physics Gallery of Darrang College. Great moments for me. Vaccine,1.00,0.00,Positive,,u,,,n/a,
#reopencollege PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE.,1.00,0.00,Positive,,p,,,y,
"Opinion: If athletes wont get vaccine, this College World Series disaster is going to keep happening - USA TODAY",0.00,1.00,Negative,,u,,,n/a,
"Since the Governor hasnt stopped college student vaccine mandates following the latest scientific developments and warnings from the CDC on myocarditis, I sent this letter today to the chancellor of ...(1/2)",0.43,0.57,Negative,,a,,,y,
#cancelhpuexamsIf CBSE and other board exams are cancelled why not Hpu exams Corona is same for all for both college and school students. And most of first year students are 18 or 17 years of age and they did not get vaccine yet.So please cancel hpu offline exams.,0.29,0.71,Negative,,u,,,n/a,
Did you know that you can walk in and get the COVID vaccine at the Montgomery College- Germantown site? You still have the opportunity to take the Ride On Vaccination Shuttle through July 2nd. Take advantage of this opportunity now.,1.00,0.00,Positive,,p,,,y,
"Unreal. NC State, three wins away from a college World Series championship weve never won, is disqualified because of COVID spread. The skipper called the vaccine politics and now half his team is quarantined and ineligible.",0.75,0.25,Positive,,u,,,n/a,
There are lots of reasons to get vaccinated against #COVID19. Simpson College President Marsha Kelliher wants to benefit the entire #ONESimpson community.Tell us your reason for getting the vaccine at,1.00,0.00,Positive,,p,,,y,
I suspect Dumper has a lot of love for you.Do you also believe Dumper created the vaccine? Im gonna need you to sign up for some college courses,0.48,0.52,Negative,,p,,,n,
"If the vaccine has been available for months should anyone feel sorry for the NC States baseball team being eliminated from the College World Series for Covid-19 safety protocols? The vaccine is available in North Carolina, isnt it?",0.71,0.29,Positive,,,,p,,p
Some people who already got a COVID vaccine from China/Taiwan come in wanting another vaccine and all I can say isAyo slip me $50 and I gotchu homie-Just kidding we cant revaccinate people its against company policy..UNLESS YOU PAY OFF MY COLLEGE TUITION I GOTCHU-,0.39,0.61,Negative,,,,p,,p
Albion will be offering a year of free tuition to a member of the community. Western is giving vaccinated students the chance to win scholarship money.,1.00,0.00,Positive,,,,p,,p
You mean be prepared for those waitlist students to get their chance to attend.No ones crying for those who refuse college because of a vaccine.,0.42,0.58,Negative,,,,p,,p
One of my friends daughters did have some myocarditis post vaccine. She recovered well anc is still very happy to have vaccine mediated virus protection as she returns to college.,1.00,0.00,Positive,,,,p,,p
"My kids college mandated them but are allowing for religious exemptions. She has the vaccine, was bullied into getting it by her peers. Youngest one wont be so easily cowered. I blasted the college pres., who likens himself to the best college president in fighting covid.",0.33,0.67,Negative,,,,a,,a
"Maybe check what happened. The vaccinated player(s) tested positive. I know some of you are still totally freaked out by the possibility that perfectly healthy young college ballplayer might choose not to get stabbed with a vaccine with unknown results, but I dont know why",0.83,0.17,Positive,,,,a,,a
"The University of California System policy, for example, is marked DRAFT in red and will go into effect only if a vaccine receives full approval.",1.00,0.00,Positive,,,,u,,u
"And if you are worried about the side effects, its not that bad if you drink water the day before and of. I had a worse reaction to my meningitis vaccine that I was forced to take to go to college. The COVID vaccine is not that bad and very safe.",0.52,0.48,Positive,,,,p,,p
"Im refencing sad because as a coach, you really cant put pressure on the player to get vaccinated. Even though they are putting their teammates at risk. Opinion: If athletes wont get vaccine, this College World Series disaster is going to keep happening",0.18,0.82,Negative,,,,p,,p
We are facong lot of problems in our college days including covid.. And now we have got deal to deal with the new problem OFFLINE EXAM.. We didn\t get vaccine and any other mode of defence against the covid19..we need more better situation to write our exams in a peacefull day,0.38,0.62,Negative,,,,p,,p
"My Daughter found a great Nanny Gig while home from College this Summer. First question, vaccinated, check! The folks were extra appreciative and gave her even more money since they were having trouble finding kids who were willing to get the vaccine. Unreal.",0.75,0.25,Positive,,,,p,,p
